YEAR,MO,DY,HR,WS10M,WS50M
2015,1,26,13,2.18,3.35
2015,1,26,14,2.27,3.65
2015,1,26,15,2.07,3.72
2015,1,26,16,1.81,4.09
2015,1,26,17,2.13,4.57
2015,1,26,18,2.32,4.38
2015,1,26,19,2.4,4.5
2015,1,26,20,2.33,4.34
2015,1,26,21,2.48,4.33
2015,1,26,22,2.68,4.46
2015,1,26,23,2.7,4.66
2015,1,27,0,3.04,5.3
2015,1,27,1,2.6,4.8
2015,1,27,2,2.89,5.15
2015,1,27,3,3.36,5.69
2015,1,27,4,3.53,5.84
2015,1,27,5,3.59,5.83
2015,1,27,6,3.71,5.92
2015,1,27,7,4,6.23
2015,1,27,8,4.43,6.83
2015,1,27,9,4.7,7.23
2015,1,27,10,4.74,7.26
2015,1,27,11,5.08,7.74
2015,1,27,12,5.26,7.97
2015,1,27,13,5.43,8.18
2015,1,27,14,5.66,8.6
2015,1,27,15,5.79,8.9
2015,1,27,16,5.93,9.09
2015,1,27,17,5.96,9.21
2015,1,27,18,5.82,9.14
2015,1,27,19,5.67,8.97
2015,1,27,20,5.58,8.88
2015,1,27,21,5.51,8.82
2015,1,27,22,5.42,8.68
2015,1,27,23,5.32,8.51
2015,1,28,0,5.18,8.25
2015,1,28,1,4.97,7.88
2015,1,28,2,4.76,7.57
2015,1,28,3,4.6,7.33
2015,1,28,4,4.46,7.11
2015,1,28,5,4.28,6.82
2015,1,28,6,4.27,6.82
2015,1,28,7,4.34,6.87
2015,1,28,8,4.4,6.9
2015,1,28,9,4.47,6.92
2015,1,28,10,4.46,6.87
2015,1,28,11,4.39,6.68
2015,1,28,12,4.26,6.52
2015,1,28,13,4.06,6.28
2015,1,28,14,3.86,6.05
2015,1,28,15,3.68,5.98
2015,1,28,16,3.36,6
2015,1,28,17,2.62,5.67
2015,1,28,18,2.56,5.59
2015,1,28,19,2.64,5.5
2015,1,28,20,2.57,5.45
2015,1,28,21,2.56,5.3
2015,1,28,22,2.54,5.23
2015,1,28,23,2.52,5.11
2015,1,29,0,2.57,4.95
2015,1,29,1,2.76,4.72
2015,1,29,2,2.67,4.57
2015,1,29,3,2.6,4.52
2015,1,29,4,2.55,4.35
2015,1,29,5,2.33,3.75
2015,1,29,6,1.92,2.78
2015,1,29,7,1.35,1.82
2015,1,29,8,0.4,0.51
2015,1,29,9,0.8,1.08
2015,1,29,10,1.39,1.82
2015,1,29,11,2.02,3.03
2015,1,29,12,2.79,4.74
2015,1,29,13,2.92,4.92
2015,1,29,14,2.98,5.19
2015,1,29,15,2.98,5.58
2015,1,29,16,3.08,5.85
2015,1,29,17,3.24,5.93
2015,1,29,18,3.35,5.95
2015,1,29,19,3.36,5.91
2015,1,29,20,3.31,5.88
2015,1,29,21,3.37,6.19
2015,1,29,22,3.42,6.15
2015,1,29,23,3.36,6.04
2015,1,30,0,3.3,6.13
2015,1,30,1,3.16,6
2015,1,30,2,2.64,5.38
2015,1,30,3,2,4.29
2015,1,30,4,1.32,3.43
2015,1,30,5,1.35,3.18
2015,1,30,6,1.34,3.18
2015,1,30,7,1.31,3.05
2015,1,30,8,1.1,2.41
2015,1,30,9,1.14,1.84
2015,1,30,10,1.88,3.03
2015,1,30,11,2.59,4.13
2015,1,30,12,3.23,5.16
2015,1,30,13,3.92,6.3
2015,1,30,14,4.61,7.34
2015,1,30,15,5.32,8.37
2015,1,30,16,5.47,8.57
2015,1,30,17,5.43,8.59
2015,1,30,18,5.44,8.67
2015,1,30,19,5.52,8.78
2015,1,30,20,5.71,9.03
2015,1,30,21,5.95,9.33
2015,1,30,22,6.12,9.6
2015,1,30,23,6.39,9.97
2015,1,31,0,6.53,10.15
2015,1,31,1,6.51,10.07
2015,1,31,2,6.5,9.95
2015,1,31,3,6.49,9.91
2015,1,31,4,6.44,9.83
2015,1,31,5,6.29,9.61
2015,1,31,6,6.13,9.36
2015,1,31,7,5.92,8.99
2015,1,31,8,5.77,8.62
2015,1,31,9,5.83,8.74
2015,1,31,10,5.94,8.81
2015,1,31,11,6.09,9.1
2015,1,31,12,6.19,9.34
2015,1,31,13,6.04,9.19
2015,1,31,14,5.64,8.7
2015,1,31,15,5.32,8.35
2015,1,31,16,5.11,8.36
2015,1,31,17,4.79,7.94
2015,1,31,18,4.63,7.77
2015,1,31,19,4.57,7.73
2015,1,31,20,4.56,7.7
2015,1,31,21,4.54,7.66
2015,1,31,22,4.43,7.46
2015,1,31,23,4.18,6.98
2015,2,1,0,3.86,6.49
2015,2,1,1,3.22,5.78
2015,2,1,2,2.82,5.38
2015,2,1,3,2.48,5.42
2015,2,1,4,2.59,5.88
2015,2,1,5,2.74,6.09
2015,2,1,6,3.19,5.89
2015,2,1,7,2.72,4.81
2015,2,1,8,2.95,4.78
2015,2,1,9,4.12,6.51
2015,2,1,10,4.19,6.45
2015,2,1,11,4.07,6.16
2015,2,1,12,3.81,5.71
2015,2,1,13,3.56,5.4
2015,2,1,14,3.28,5.11
2015,2,1,15,2.66,4.53
2015,2,1,16,1.96,4.29
2015,2,1,17,2.08,4.29
2015,2,1,18,2.2,4.43
2015,2,1,19,2.12,4.29
2015,2,1,20,2.14,3.56
2015,2,1,21,2.16,3.42
2015,2,1,22,2.1,3.31
2015,2,1,23,1.85,2.97
2015,2,2,0,1.61,2.74
2015,2,2,1,1.51,2.99
2015,2,2,2,1.57,3.25
2015,2,2,3,2.18,3.46
2015,2,2,4,2.67,4.02
2015,2,2,5,2.97,4.56
2015,2,2,6,3.41,5.15
2015,2,2,7,3.83,5.75
2015,2,2,8,3.94,5.88
2015,2,2,9,3.97,5.98
2015,2,2,10,4.09,6.09
2015,2,2,11,4.36,6.48
2015,2,2,12,4.4,6.82
2015,2,2,13,3.99,6.13
2015,2,2,14,4,6.11
2015,2,2,15,3.18,5.01
2015,2,2,16,3.01,4.85
2015,2,2,17,3.37,5.34
2015,2,2,18,4.28,6.6
2015,2,2,19,4.29,6.66
2015,2,2,20,4.42,6.77
2015,2,2,21,4.81,7.21
2015,2,2,22,5.04,7.52
2015,2,2,23,4.96,7.45
2015,2,3,0,4.68,7.15
2015,2,3,1,4.39,6.86
2015,2,3,2,4.1,6.6
2015,2,3,3,3.67,6.12
2015,2,3,4,3.32,5.85
2015,2,3,5,3.04,5.6
2015,2,3,6,2.59,5.32
2015,2,3,7,2.66,5.28
2015,2,3,8,2.71,4.04
2015,2,3,9,2.34,3.14
2015,2,3,10,2.42,3.64
2015,2,3,11,2.61,3.93
2015,2,3,12,2.98,4.57
2015,2,3,13,3.08,4.81
2015,2,3,14,3.01,4.88
2015,2,3,15,2.75,4.82
2015,2,3,16,2.55,4.96
2015,2,3,17,2.41,5.03
2015,2,3,18,2.85,5.87
2015,2,3,19,2.59,5.54
2015,2,3,20,2.02,5.43
