YEAR,MO,DY,HR,WS10M,WS50M
2021,1,26,18,3.08,5.81
2021,1,26,19,4.04,6
2021,1,26,20,3.53,5.5
2021,1,26,21,2.63,5.04
2021,1,26,22,2.18,4.49
2021,1,26,23,1.84,3.5
2021,1,27,0,1.51,2.47
2021,1,27,1,1.78,3.03
2021,1,27,2,2.55,5.15
2021,1,27,3,4.18,7.19
2021,1,27,4,5.22,7.86
2021,1,27,5,5.78,8.23
2021,1,27,6,8.15,10.51
2021,1,27,7,11.02,13.56
2021,1,27,8,11.74,14.16
2021,1,27,9,12.01,14.48
2021,1,27,10,12.07,14.45
2021,1,27,11,11.49,13.61
2021,1,27,12,10.42,12.3
2021,1,27,13,9.37,11.07
2021,1,27,14,8.57,10.18
2021,1,27,15,7.87,9.55
2021,1,27,16,6.21,8.71
2021,1,27,17,4.93,8.51
2021,1,27,18,4.77,8.31
2021,1,27,19,4.51,8
2021,1,27,20,4.12,7.85
2021,1,27,21,4.06,7.94
2021,1,27,22,4.24,8.25
2021,1,27,23,4.59,8.7
2021,1,28,0,5.02,9.05
2021,1,28,1,5.57,9.35
2021,1,28,2,5.72,9.31
2021,1,28,3,5.63,9.13
2021,1,28,4,5.33,8.83
2021,1,28,5,4.88,8.56
2021,1,28,6,5.17,8.02
2021,1,28,7,6.25,7.52
2021,1,28,8,6.18,7.12
2021,1,28,9,5.56,6.23
2021,1,28,10,5.23,5.74
2021,1,28,11,5.06,5.46
2021,1,28,12,5.08,5.44
2021,1,28,13,5.34,5.73
2021,1,28,14,5.65,6.13
2021,1,28,15,5.79,6.46
2021,1,28,16,5.65,6.81
2021,1,28,17,5.19,6.95
2021,1,28,18,4.84,6.71
2021,1,28,19,4.2,6.51
2021,1,28,20,3.31,6.2
2021,1,28,21,2.94,5.84
2021,1,28,22,2.83,5.62
2021,1,28,23,2.77,5.45
2021,1,29,0,2.74,5.2
2021,1,29,1,2.64,4.86
2021,1,29,2,2.57,4.7
2021,1,29,3,2.67,4.75
2021,1,29,4,2.73,4.81
2021,1,29,5,2.76,4.76
2021,1,29,6,2.57,4.64
2021,1,29,7,3.89,4.67
2021,1,29,8,4.29,4.95
2021,1,29,9,4.56,5.22
2021,1,29,10,4.87,5.54
2021,1,29,11,5.24,5.92
2021,1,29,12,5.72,6.45
